index1.1,index1.2,val1,index2.1,index2.2,val2,Class
0.1,0.06,0.243067,0.1,0.06,0.004151,0
0.1,0.24,0.266772,0.1,0.24,0.006898,0
0.1,0.48,0.250856,0.1,0.48,0.00573,0
0.1,0.9,0.265419,0.1,0.9,0.010529,0
0.1,1.2,0.269267,0.1,1.2,0.006763,0
0.1,1.8,0.431288,0.1,1.8,0.029802,0
0.5,0.06,1.07437,0.5,0.06,0.00422,0
0.5,0.24,1.07853,0.5,0.24,0.006806,0
0.5,0.48,1.05575,0.5,0.48,0.005608,0
0.5,0.9,1.07894,0.5,0.9,0.010522,0
0.5,1.2,1.093,0.5,1.2,0.007393,0
0.5,1.8,1.27717,0.5,1.8,0.030251,0
1.2,0.06,2.49213,1.2,0.06,0.004088,0
1.2,0.24,2.53051,1.2,0.24,0.007025,0
1.2,0.48,2.49108,1.2,0.48,0.00604,0
1.2,0.9,2.51249,1.2,0.9,0.010544,0
1.2,1.2,2.50467,1.2,1.2,0.007519,0
1.2,1.8,2.6939,1.2,1.8,0.030247,0
3.0,0.06,6.1865,3.0,0.06,0.004261,0
3.0,0.24,6.16064,3.0,0.24,0.007116,0
3.0,0.48,6.15715,3.0,0.48,0.006347,0
3.0,0.9,6.19435,3.0,0.9,0.010806,0
3.0,1.2,6.17992,3.0,1.2,0.007686,0
3.0,1.8,6.34771,3.0,1.8,0.028679,0
4.0,0.06,8.19699,4.0,0.06,0.004236,0
4.0,0.24,8.23735,4.0,0.24,0.007372,0
4.0,0.48,8.17149,4.0,0.48,0.005779,0
4.0,0.9,8.20701,4.0,0.9,0.011116,0
4.0,1.2,8.24945,4.0,1.2,0.007572,0
4.0,1.8,8.41948,4.0,1.8,0.028719,0
5.441803392997085,-0.6230991688344587,9.709593309630355,5.167923632360035,0.3181983338932894,-0.6176396117519976,1
5.0,0.24,10.2124,5.0,0.24,0.007184,0
5.0,0.48,10.2301,5.0,0.48,0.006112,0
5.0,0.9,10.2659,5.0,0.9,0.011367,0
5.0,1.2,10.2565,5.0,1.2,0.007615,0
5.0,1.8,10.4075,5.0,1.8,0.02899,0
0.1,0.06,0.287339,0.1,0.06,0.00245,0
0.1,0.24,0.281311,0.1,0.24,0.005241,0
0.1,0.48,0.33408,0.1,0.48,0.007113,0
0.1,0.9,0.415525,0.1,0.9,0.015263,0
0.1,1.2,0.600559,0.1,1.2,0.018692,0
0.1,1.8,0.491638,0.1,1.8,0.022137,0
0.5,0.06,1.43788,0.5,0.06,0.00238,0
0.5,0.24,1.40889,0.5,0.24,0.005179,0
0.5,0.48,1.41073,0.5,0.48,0.007473,0
0.5,0.9,1.4023,0.5,0.9,0.015106,0
0.5,1.2,1.42567,0.5,1.2,0.019158,0
0.5,1.8,1.39872,0.5,1.8,0.022357,0
1.2,0.06,3.4621,1.2,0.06,0.002304,0
1.2,0.24,3.42661,1.2,0.24,0.004973,0
1.2,0.48,3.38597,1.2,0.48,0.007244,0
1.2,0.9,3.38537,1.2,0.9,0.014874,0
1.2,1.2,3.36028,1.2,1.2,0.018978,0
1.2,1.8,3.36135,1.2,1.8,0.022263,0
3.0,0.06,8.42584,3.0,0.06,0.001699,0
3.0,0.24,8.41728,3.0,0.24,0.004675,0
3.0,0.48,8.38948,3.0,0.48,0.006947,0
3.0,0.9,8.4018,3.0,0.9,0.014579,0
3.0,1.2,8.52544,3.0,1.2,0.018561,0
3.0,1.8,8.39033,3.0,1.8,0.024184,0
4.0,0.06,11.3309,4.0,0.06,0.001668,0
4.0,0.24,11.3523,4.0,0.24,0.004395,0
4.0,0.48,11.1453,4.0,0.48,0.006627,0
4.0,0.9,11.1574,4.0,0.9,0.01426,0
4.0,1.2,11.1623,4.0,1.2,0.018345,0
4.0,1.8,11.3251,4.0,1.8,0.023999,0
5.0,0.06,13.944,5.0,0.06,0.001433,0
5.0,0.24,14.1118,5.0,0.24,0.004259,0
5.0,0.48,13.9728,5.0,0.48,0.006435,0
5.0,0.9,13.9326,5.0,0.9,0.014148,0
5.0,1.2,14.1573,5.0,1.2,0.018129,0
5.0,1.8,14.1322,5.0,1.8,0.023883,0
0.1,0.06,0.287339,0.1,0.06,0.004151,0
0.1,0.24,0.281311,0.1,0.24,0.006898,0
0.1,0.48,0.33408,0.1,0.48,0.00573,0
0.1,0.9,0.415525,0.1,0.9,0.010529,0
0.1,1.2,0.600559,0.1,1.2,0.006763,0
0.1,1.8,0.491638,0.1,1.8,0.029802,0
0.5,0.06,1.43788,0.5,0.06,0.00422,0
0.5,0.24,1.40889,0.5,0.24,0.006806,0
0.03021741637302089,-0.42414766424975725,1.719764246965021,0.6732635091565002,-0.02421651026557292,-0.7592664775020458,1
0.5,0.9,1.4023,0.5,0.9,0.010522,0
0.5,1.2,1.42567,0.5,1.2,0.007393,0
0.5,1.8,1.39872,0.5,1.8,0.030251,0
1.2,0.06,3.4621,1.2,0.06,0.004088,0
1.2,0.24,3.42661,1.2,0.24,0.007025,0
1.2,0.48,3.38597,1.2,0.48,0.00604,0
1.2,0.9,3.38537,1.2,0.9,0.010544,0
1.2,1.2,3.36028,1.2,1.2,0.007519,0
1.2,1.8,3.36135,1.2,1.8,0.030247,0
